Protein.IDs	LFQ.intensity.1_0h_RS1	LFQ.intensity.2_05h_RS1	LFQ.intensity.3_1h_RS1	LFQ.intensity.4_2h_RS1	LFQ.intensity.5_8h_RS1	LFQ.intensity.6_16h_RS1	LFQ.intensity.7_24h_RS1	LFQ.intensity.8_30h_RS1	LFQ.intensity.1_0h_RS3	LFQ.intensity.2_05h_RS3	LFQ.intensity.3_1h_RS3	LFQ.intensity.4_2h_RS3	LFQ.intensity.5_8h_RS3	LFQ.intensity.6_16h_RS3	LFQ.intensity.7_24h_RS3	LFQ.intensity.8_30h_RS3
NA	NA	21.2465550547927	20.8676316712251	21.147806121378	21.0215412128631	21.0174690596936	21.4324725760255	NA	21.5129198164929	21.3504061675928	21.9239382101711	NA	20.8419174847051	21.0628946439308	20.4084168213457	19.8708402893461
ENSG00000114302	NA	21.2465550547927	NA	21.147806121378	21.0215412128631	21.0174690596936	NA	20.5891171171139	21.5129198164929	21.3504061675928	21.9239382101711	21.2680804848369	20.8419174847051	21.0628946439308	20.4084168213457	19.8708402893461
ENSG00000108515	23.2806507157153	23.43364452537	23.4740742708024	23.344079140574	23.140195072779	23.3077200115487	23.2625571323679	NA	23.8521477120961	NA	23.605464145071	23.4250878174431	NA	22.8327154381949	22.960102360915	NA
NA	26.2682625668935	NA	26.0600269534711	NA	NA	NA	NA	NA	26.4548168619294	26.2630229976062	26.5705546660875	NA	26.3669304668156	NA	NA	NA
ENSG00000143627	30.1291538767634	NA	29.9243653190488	30.0085177430652	NA	NA	29.889729746543	NA	NA	NA	30.3473103376143	NA	NA	29.818697775664	29.8838001974866	30.1502528826863
ENSG00000166598	NA	NA	NA	NA	NA	27.80002075912	NA	29.1718351896997	NA	27.0655840993826	27.0466642544371	27.088915504687	NA	NA	28.9166704729484	NA
ENSG00000119912	19.5414558827688	20.5774546450119	20.2449305287164	20.5000871671167	NA	19.1167754461097	20.5424575771787	20.6564807286398	NA	20.0361736125535	NA	NA	18.2141862908055	NA	20.2450466269775	20.1564732134303
ENSG00000126267	22.5916529110502	NA	22.5173964274886	NA	22.1371487580994	21.7367371831255	21.6480327564766	21.8107253798046	22.0901318078167	NA	22.1893637037075	NA	22.04670171844	NA	NA	20.5480203725171
NA	NA	23.8217233858779	NA	23.6782038097757	NA	NA	23.6966789312038	NA	23.4758066434759	23.2038456264792	NA	NA	23.6277850033806	NA	23.4943604869973	23.9613747970284
ENSG00000173801	NA	NA	23.1662691433969	23.1282857626311	NA	NA	21.9235030408621	NA	NA	23.0476005627713	22.4052775655111	23.1406163636695	22.0099734611917	NA	NA	21.6349350973308
ENSG00000156467	NA	21.3886374806064	21.542363107412	NA	NA	NA	21.5988249059968	21.8676316712251	21.4146233056043	21.2380058119887	NA	NA	21.7982392100506	21.3189311101602	22.0332522586114	20.6997317167708
ENSG00000135821	23.3041028379023	NA	23.0758270843778	NA	NA	22.7772593290948	21.8287702643109	NA	23.4139005900715	22.4825184718701	23.1838328294795	NA	21.6459679662546	21.7319818819629	21.6630125153589	22.0549699052961
ENSG00000227471	NA	NA	25.9873282084637	26.016291933921	25.8439310161428	25.9078176281565	NA	NA	NA	25.8023278182164	NA	25.6764024068237	NA	25.7157060737336	25.9640000656973	25.9193214513604
NA	NA	24.1008522304399	24.2950901128707	NA	NA	NA	23.509541138038	22.304520667236	24.7896490572307	24.0976412452709	24.5094203244851	NA	NA	23.9148814403913	23.6845311945631	23.9885855346897
ENSG00000092820	NA	NA	26.6254736387061	NA	26.4341060375568	NA	NA	NA	26.4402190603637	26.2339059006316	26.5406142999997	26.3323797107335	NA	NA	NA	NA
ENSG00000239672	22.5824939294362	NA	22.1227521785442	NA	22.0545062824166	21.7770786924077	22.4002561423681	NA	22.6596414515372	NA	21.2210489554618	20.5809540985057	21.6064811222322	NA	NA	20.3069694982305
ENSG00000181019	26.3328918434935	26.1316530538693	26.1430286142664	26.2819243687842	26.0381890855651	NA	26.0115652723867	26.0262058012735	26.4806215986615	NA	26.4766566012131	NA	26.0333236840459	25.8378819714699	NA	26.4239185083833
NA	26.0218927451962	26.2550287139351	26.2255275483529	26.3150655134795	26.2086792546465	26.2488002695468	NA	26.2984852263161	26.4274235962113	26.3261684527794	26.4873540545224	26.3523877900178	26.3480536726635	NA	26.4305852663175	NA
ENSG00000117748	NA	NA	NA	NA	NA	19.6312445667489	NA	19.7419705408641	21.290358649026	NA	NA	21.0543075412787	NA	20.3964459074157	19.145718248515	17.9404856640602
ENSG00000124588	NA	20.0862813831063	NA	NA	NA	NA	21.3094141796211	NA	19.0835832042834	18.418519725677	20.0659209559475	19.7797898776547	18.5944485364639	NA	19.4979063984263	20.3634589176104
ENSG00000164508	24.0932144389719	24.1011729362411	NA	23.9029741697433	24.0819657710933	NA	NA	NA	23.4266240976922	24.0519205096894	NA	24.4371419696062	24.2867963155564	24.2009758101782	24.3107736292848	23.005662922898
ENSG00000188486	NA	24.1011729362411	24.6661156232035	NA	24.0819657710933	23.6528318467136	NA	23.573461358428	23.4266240976922	24.0519205096894	NA	24.4371419696062	NA	24.2009758101782	NA	NA
NA	25.7283999014578	25.6894985506414	25.7646610527954	NA	NA	NA	25.5661618377699	25.1914812750103	26.0148032161042	25.7361384645201	NA	25.9712772591208	25.6066505487507	25.4513935001886	NA	25.8833661513569
ENSG00000163521	NA	20.3468945787611	20.665790435545	20.6902128695979	18.9569092641608	19.9660660335236	19.2594858267428	NA	21.1488613356101	20.7338031532727	20.8905967882679	20.383847704459	NA	19.4304933882434	19.1425807628097	18.8950426932991
NA	NA	NA	20.665790435545	NA	18.9569092641608	NA	19.2594858267428	NA	NA	20.7338031532727	NA	20.383847704459	19.7456677595987	19.4304933882434	19.1425807628097	NA
ENSG00000184357	27.0552761458362	26.9340460729304	NA	27.2820658164083	NA	26.9595851130027	27.1041960911463	NA	26.9664225430563	26.9052946314166	NA	27.3106003013527	27.0759209079868	NA	26.948599649852	26.4656146039058
NA	28.1435541755994	NA	28.320102548416	28.3204899473224	28.3952564115254	28.0406156470249	28.2584923532369	NA	NA	NA	NA	NA	27.9865797960567	27.6711466813722	27.8490003247143	NA
NA	26.31813812693	25.9248126847891	NA	26.0354648044216	26.0004543066252	25.8900864856611	25.9813517877088	25.5283248541323	25.589637203911	25.8659907123608	25.624525744427	NA	NA	NA	NA	NA
